Frequency (Hz),Real Part,Imaginary Part
1600000000.0,-0.77961,0.529151
1607000000.0,-0.758215,0.563052
1614000000.0,-0.730578,0.595542
1621000000.0,-0.706488,0.623185
1628000000.0,-0.672135,0.65971
1635000000.0,-0.676341,0.657896
1642000000.0,-0.602206,0.717085
1649000000.0,-0.56578,0.743858
1656000000.0,-0.517458,0.772899
1663000000.0,-0.587265,0.7321
1670000000.0,-0.445473,0.813094
1677000000.0,-0.45356,0.81348
1684000000.0,-0.488856,0.796295
1691000000.0,-0.329911,0.867844
1698000000.0,-0.286505,0.881738
1705000000.0,-0.237489,0.896946
1712000000.0,-0.184937,0.903795
1719000000.0,-0.151395,0.910009
1726000000.0,-0.107464,0.91568
1733000000.0,-0.069863,0.915869
1740000000.0,-0.025871,0.918628
1747000000.0,0.026517,0.914842
1754000000.0,0.065794,0.907194
1761000000.0,0.110244,0.903139
1768000000.0,0.14524,0.893945
1775000000.0,0.192621,0.876699
1782000000.0,0.231465,0.862664
1789000000.0,0.274604,0.846009
1796000000.0,0.312627,0.833769
1803000000.0,0.349163,0.810652
1810000000.0,0.394202,0.79272
1817000000.0,0.430955,0.766223
1824000000.0,0.46507,0.749204
1831000000.0,0.585803,0.639627
1838000000.0,0.533557,0.684151
1845000000.0,0.558669,0.652407
1852000000.0,0.581008,0.622107
1859000000.0,0.668547,0.505691
1866000000.0,0.638642,0.556434
1873000000.0,0.667997,0.512904
1880000000.0,0.684792,0.474884
1887000000.0,0.703033,0.42541
1894000000.0,0.720153,0.384427
1901000000.0,0.732889,0.342653
1908000000.0,0.737984,0.290072
1915000000.0,0.737378,0.25185
1922000000.0,0.739686,0.204446
1929000000.0,0.733426,0.162337
1936000000.0,0.724584,0.129388
1943000000.0,0.713166,0.085815
1950000000.0,0.694566,0.049195
1957000000.0,0.678249,0.013753
1964000000.0,0.654305,-0.005087
1971000000.0,0.630838,-0.031678
1978000000.0,0.610615,-0.040897
1985000000.0,0.589622,-0.057392
1992000000.0,0.571184,-0.070966
1999000000.0,0.558017,-0.071095
2006000000.0,0.54799,-0.071317
2013000000.0,0.541828,-0.075142
2020000000.0,0.53936,-0.075694
2027000000.0,0.543382,-0.078474
2034000000.0,0.551381,-0.086965
2041000000.0,0.558465,-0.095876
2048000000.0,0.572764,-0.104417
2055000000.0,0.58214,-0.131281
2062000000.0,0.594484,-0.154819
2069000000.0,0.604635,-0.179202
2076000000.0,0.60491,-0.222869
2083000000.0,0.608838,-0.256722
2090000000.0,0.60128,-0.302183
2097000000.0,0.592202,-0.338636
2104000000.0,0.575631,-0.380777
2111000000.0,0.554449,-0.421405
2118000000.0,0.523603,-0.457216
2125000000.0,0.491796,-0.492957
2132000000.0,0.456296,-0.515471
2139000000.0,0.404743,-0.542556
2146000000.0,0.361547,-0.559811
2153000000.0,0.318604,-0.55954
2160000000.0,0.263101,-0.563899
2167000000.0,0.218826,-0.559381
2174000000.0,0.207553,-0.536701
2181000000.0,0.138138,-0.528959
2188000000.0,0.107413,-0.505066
2195000000.0,0.078865,-0.478506
2202000000.0,0.138849,-0.43483
2209000000.0,0.065387,-0.415881
2216000000.0,0.063818,-0.390534
2223000000.0,0.066001,-0.36805
2230000000.0,0.084267,-0.349001
2237000000.0,0.099693,-0.339265
2244000000.0,0.118861,-0.332356
2251000000.0,0.137366,-0.336072
2258000000.0,0.150484,-0.34569
2265000000.0,0.16782,-0.354951
2272000000.0,0.177112,-0.373049
2279000000.0,0.186897,-0.390129
2286000000.0,0.177957,-0.418887
2293000000.0,0.176683,-0.444229
2300000000.0,0.171516,-0.471614
2307000000.0,0.157773,-0.503942
2314000000.0,0.142754,-0.527375
2321000000.0,0.133892,-0.553996
2328000000.0,0.116822,-0.575984
2335000000.0,0.093735,-0.60632
2342000000.0,0.063897,-0.634678
2349000000.0,0.027118,-0.656509
2356000000.0,0.000344,-0.684331
2363000000.0,-0.04204,-0.70473
2370000000.0,-0.08494,-0.717801
2377000000.0,-0.13108,-0.730136
2384000000.0,-0.18669,-0.735984
2391000000.0,-0.232672,-0.735447
2398000000.0,-0.287617,-0.731509
2405000000.0,-0.344903,-0.724027
2412000000.0,-0.390132,-0.716867
2419000000.0,-0.441511,-0.696421
2426000000.0,-0.490385,-0.664405
2433000000.0,-0.538528,-0.636163
2440000000.0,-0.574485,-0.608377
2447000000.0,-0.621486,-0.569627
2454000000.0,-0.656029,-0.529242
2461000000.0,-0.685265,-0.495087
2468000000.0,-0.715144,-0.457539
2475000000.0,-0.735605,-0.413029
2482000000.0,-0.755416,-0.369584
2489000000.0,-0.773195,-0.320219
2496000000.0,-0.791308,-0.265446
2503000000.0,-0.797431,-0.243865
2510000000.0,-0.804883,-0.200836
2517000000.0,-0.809426,-0.149202
2524000000.0,-0.811469,-0.110554
2531000000.0,-0.810948,-0.057979
2538000000.0,-0.810612,-0.017326
2545000000.0,-0.802667,0.038991
2552000000.0,-0.793753,0.075768
2559000000.0,-0.789033,0.117334
2566000000.0,-0.775961,0.166205
2573000000.0,-0.753571,0.217796
2580000000.0,-0.73829,0.246316
2587000000.0,-0.717248,0.285385
2594000000.0,-0.70141,0.320986
2601000000.0,-0.67275,0.3576
2608000000.0,-0.643416,0.378626
2615000000.0,-0.613499,0.413538
2622000000.0,-0.567626,0.442499
2629000000.0,-0.525953,0.461459
2636000000.0,-0.48188,0.489138
2643000000.0,-0.439877,0.500167
2650000000.0,-0.409727,0.507694
2657000000.0,-0.369098,0.506699
2664000000.0,-0.3474,0.50052
2671000000.0,-0.309325,0.499092
2678000000.0,-0.280863,0.490715
2685000000.0,-0.255314,0.479853
2692000000.0,-0.236263,0.46262
2699000000.0,-0.231164,0.454192
2706000000.0,-0.216814,0.447923
2713000000.0,-0.273071,0.410144
2720000000.0,-0.218699,0.429704
2727000000.0,-0.22197,0.428067
2734000000.0,-0.223555,0.430655
2741000000.0,-0.224032,0.434894
2748000000.0,-0.222657,0.444808
2755000000.0,-0.226516,0.452016
2762000000.0,-0.218316,0.471751
2769000000.0,-0.208562,0.486699
2776000000.0,-0.195132,0.509229
2783000000.0,-0.181646,0.52473
2790000000.0,-0.149865,0.545785
2797000000.0,-0.137301,0.564287
2804000000.0,-0.110076,0.586717
2811000000.0,-0.081142,0.602441
2818000000.0,-0.059514,0.621197
2825000000.0,-0.024515,0.638075
2832000000.0,-0.000162,0.639911
2839000000.0,0.037669,0.645643
2846000000.0,0.061063,0.64694
2853000000.0,0.000312,0.657236
2860000000.0,0.12914,0.637756
2867000000.0,0.158533,0.631155
2874000000.0,0.197861,0.620767
2881000000.0,0.149553,0.63482
2888000000.0,0.259826,0.598238
2895000000.0,0.279295,0.584729
2902000000.0,0.305652,0.566147
2909000000.0,0.333912,0.548161
2916000000.0,0.356629,0.525476
2923000000.0,0.374294,0.512112
2930000000.0,0.398997,0.491628
2937000000.0,0.419944,0.469958
2944000000.0,0.437076,0.452509
2951000000.0,0.450177,0.430316
2958000000.0,0.467261,0.412121
2965000000.0,0.478907,0.393604
2972000000.0,0.490734,0.365893
2979000000.0,0.505163,0.34688
2986000000.0,0.514842,0.326469
2993000000.0,0.527716,0.30009
3000000000.0,0.544225,0.264367
