Freq (Hz),s21avg
2000000000.0,-0.36969127438251265
2001001001.0010011,-0.3740933706758319
2002002002.002002,-0.3784954669691502
2003003003.0030031,-0.38289756326246943
2004004004.004004,-0.3854366057377029
2005005005.0050051,-0.3861384958382018
2006006006.006006,-0.3868403859387005
2007007007.0070071,-0.3875422760391995
2008008008.008008,-0.38824416613969814
2009009009.0090091,-0.3935305884602941
2010010010.01001,-0.40324827447051803
2011011011.0110111,-0.41296596048074435
2012012012.012012,-0.42268364649096857
2013013013.0130131,-0.4324013325011949
2014014014.014014,-0.43888892123397244
2015015015.0150151,-0.4423162522735134
2016016016.016016,-0.44574358331305336
2017017017.0170171,-0.4491709143525945
2018018018.018018,-0.45259824539213456
2019019019.0190191,-0.4583509989856275
2020020020.02002,-0.4662632336972046
2021021021.0210211,-0.47417546840878344
2022022022.022022,-0.48208770312036064
2023023023.0230231,-0.4899999378319396
2024024024.024024,-0.5001045402563328
2025025025.0250251,-0.5122046789083442
2026026026.026026,-0.5243048175603527
2027027027.0270271,-0.536404956212364
2028028028.028028,-0.5485050948643726
2029029029.0290291,-0.5532281253077127
2030030030.03003,-0.5513696864598743
2031031031.0310311,-0.5495112476120355
2032032032.032032,-0.5476528087641973
2033033033.0330331,-0.5457943699163585
2034034034.034034,-0.550161374458818
2035035035.0350351,-0.5599719953866094
2036036036.036036,-0.5697826163143984
2037037037.0370371,-0.5795932372421899
2038038038.038038,-0.5894038581699792
2039039039.0390391,-0.6005224774116515
2040040040.04004,-0.6127620645676315
2041041041.0410411,-0.6250016517236143
2042042042.042042,-0.6372412388795942
2043043043.0430431,-0.6494808260355769
2044044044.044044,-0.6599929997418009
2045045045.0450451,-0.6690542732827771
2046046046.046046,-0.6781155468237511
2047047047.0470471,-0.6871768203647272
2048048048.048048,-0.6962380939057011
2049049049.0490491,-0.7028572367607098
2050050050.05005,-0.7074661298350169
2051051051.0510511,-0.7120750229093249
2052052052.052052,-0.716683915983632
2053053053.0530531,-0.72129280905794
2054054054.054054,-0.7286753476717178
2055055055.0550551,-0.7382953437983677
2056056056.056056,-0.7479153399250152
2057057057.0570571,-0.7575353360516648
2058058058.058058,-0.7671553321783124
2059059059.0590591,-0.7718951887359519
2060060060.06006,-0.7727772447211327
2061061061.0610611,-0.7736593007063136
2062062062.062062,-0.7745413566914946
2063063063.0630631,-0.7754234126766757
2064064064.064064,-0.780274039018032
2065065065.0650651,-0.7881988108083172
2066066066.066066,-0.7961235825986004
2067067067.0670671,-0.8040483543888858
2068068068.068068,-0.8119731261791691
2069069069.0690691,-0.8192839496317565
2070070070.07007,-0.8261287771165036
2071071071.0710711,-0.832973604601252
2072072072.072072,-0.8398184320859989
2073073073.0730731,-0.8466632595707475
2074074074.074074,-0.8489150504402183
2075075075.0750751,-0.8477510956838563
2076076076.076076,-0.8465871409274944
2077077077.0770772,-0.8454231861711323
2078078078.078078,-0.8442592314147707
2079079079.0790792,-0.8489446941945802
2080080080.08008,-0.8578920921368709
2081081081.0810812,-0.8668394900791634
2082082082.082082,-0.8757868880214538
2083083083.0830832,-0.8847342859637466
2084084084.084084,-0.8924714543366641
2085085085.0850852,-0.8993447656133642
2086086086.086086,-0.9062180768900625
2087087087.0870872,-0.9130913881667624
2088088088.088088,-0.9199646994434607
2089089089.0890892,-0.9288714513251669
2090090090.09009,-0.9392000567480089
2091091091.0910912,-0.9495286621708534
2092092092.092092,-0.9598572675936954
2093093093.0930932,-0.9701858730165401
2094094094.094094,-0.9790283161252663
2095095095.0950952,-0.9868528569918921
2096096096.096096,-0.9946773978585156
2097097097.0970972,-1.0025019387251413
2098098098.098098,-1.010326479591765
2099099099.0990992,-1.019063743027043
2100100100.1001,-1.028413300716812
2101101101.1011012,-1.0377628584065832
2102102102.102102,-1.0471124160963519
2103103103.1031032,-1.056461973786123
2104104104.104104,-1.0584399421091772
2105105105.1051052,-1.0555747701109346
2106106106.106106,-1.0527095981126924
2107107107.1071072,-1.0498444261144495
2108108108.108108,-1.0469792541162077
2109109109.1091092,-1.0574526642500974
2110110110.11011,-1.076507923035963
2111111111.1111112,-1.0955631818218337
2112112112.112112,-1.1146184406076995
2113113113.1131132,-1.13367369939357
2114114114.114114,-1.1451638508479258
2115115115.1151152,-1.1518880463387482
2116116116.116116,-1.158612241829569
2117117117.1171172,-1.1653364373203914
2118118118.118118,-1.1720606328112122
2119119119.1191192,-1.1740074124186184
2120120120.12012,-1.17300741084652
2121121121.1211212,-1.1720074092744217
2122122122.122122,-1.1710074077023234
2123123123.1231232,-1.1700074061302252
2124124124.124124,-1.174456812548894
2125125125.1251252,-1.1821968398312752
2126126126.126126,-1.1899368671136545
2127127127.1271272,-1.1976768943960359
2128128128.128128,-1.2054169216784154
2129129129.1291292,-1.2186054585839312
2130130130.13013,-1.235014554479093
2131131131.1311312,-1.2514236503742584
2132132132.132132,-1.2678327462694203
2133133133.1331332,-1.2842418421645856
2134134134.134134,-1.2966014275282665
2135135135.1351352,-1.3066182416057808
2136136136.136136,-1.316635055683293
2137137137.1371372,-1.3266518697608074
2138138138.138138,-1.3366686838383195
2139139139.1391392,-1.3473063080334924
2140140140.14014,-1.3582954167353714
2141141141.1411412,-1.3692845254372528
2142142142.142142,-1.3802736341391317
2143143143.1431432,-1.3912627428410134
2144144144.144144,-1.4003069411250315
2145145145.1451452,-1.408273656015163
2146146146.146146,-1.4162403709052929
