Frequency (Hz),Real Part,Imaginary Part
2832000000.0,-0.031119,0.655804
2839000000.0,9.2e-05,0.654678
2846000000.0,0.032538,0.657511
2853000000.0,0.063731,0.654777
2860000000.0,0.097619,0.642183
2867000000.0,0.13199,0.635705
2874000000.0,0.174737,0.617403
2881000000.0,0.197331,0.611965
2888000000.0,0.227891,0.597539
2895000000.0,0.25935,0.577437
2902000000.0,0.275663,0.56903
2909000000.0,0.312039,0.547992
2916000000.0,0.329493,0.529062
2923000000.0,0.358162,0.505252
2930000000.0,0.372238,0.491939
2937000000.0,0.390071,0.47652
2944000000.0,0.41001,0.454314
2951000000.0,0.420569,0.437228
2958000000.0,0.444528,0.408276
2965000000.0,0.447633,0.396512
2972000000.0,0.470731,0.366933
2979000000.0,0.483643,0.342947
2986000000.0,0.492259,0.322378
2993000000.0,0.503479,0.297934
3000000000.0,0.51788,0.273207
