#Parameters = {k=5; W0=1.5; h=1.6; W=22; t=0.035}
#"Frequency / GHz"	"S2,1 [Magnitude]"
#------------------------------------
1.0000000000000	-0.78810428672423
1.0010000000000	-0.78692139760352
1.0020000000000	-0.78573788483306
1.0030000000000	-0.78455378276105
1.0040000000000	-0.78336912576268
1.0050000000000	-0.78218394823881
1.0060000000000	-0.78099828461472
1.0070000000000	-0.77981216933881
1.0080000000000	-0.77862563688135
1.0090000000000	-0.77743872173318
1.0100000000000	-0.77625145840444
1.0110000000000	-0.77506388142328
1.0120000000000	-0.77387602533458
1.0130000000000	-0.77268792469867
1.0140000000000	-0.77149961409006
1.0150000000000	-0.77031112809611
1.0160000000000	-0.76912250131579
1.0170000000000	-0.76793376835838
1.0180000000000	-0.76674496384215
1.0190000000000	-0.76555612239313
1.0200000000000	-0.76436727864376
1.0210000000000	-0.76317846723166
1.0220000000000	-0.76198972279828
1.0230000000000	-0.76080107998766
1.0240000000000	-0.75961257344514
1.0250000000000	-0.75842423781602
1.0260000000000	-0.75723610774431
1.0270000000000	-0.75604821787145
1.0280000000000	-0.75486060283499
1.0290000000000	-0.75367329726731
1.0300000000000	-0.75248633579438
1.0310000000000	-0.75129975303436
1.0320000000000	-0.75011358359644
1.0330000000000	-0.74892786207945
1.0340000000000	-0.74774262307066
1.0350000000000	-0.74655790114443
1.0360000000000	-0.74537373086094
1.0370000000000	-0.74419014676493
1.0380000000000	-0.74300718338440
1.0390000000000	-0.74182487522933
1.0400000000000	-0.74064325679039
1.0410000000000	-0.73946236253768
1.0420000000000	-0.73828222691946
1.0430000000000	-0.73710288436080
1.0440000000000	-0.73592436926244
1.0450000000000	-0.73474671599939
1.0460000000000	-0.73356995891970
1.0470000000000	-0.73239413234323
1.0480000000000	-0.73121927056034
1.0490000000000	-0.73004540783060
1.0500000000000	-0.72887257838160
1.0510000000000	-0.72770081640764
1.0520000000000	-0.72653015606845
1.0530000000000	-0.72536063148798
1.0540000000000	-0.72419227675310
1.0550000000000	-0.72302512591242
1.0560000000000	-0.72185921297490
1.0570000000000	-0.72069457190878
1.0580000000000	-0.71953123664017
1.0590000000000	-0.71836924105193
1.0600000000000	-0.71720861898234
1.0610000000000	-0.71604940422392
1.0620000000000	-0.71489163052217
1.0630000000000	-0.71373533157433
1.0640000000000	-0.71258054102816
1.0650000000000	-0.71142729248075
1.0660000000000	-0.71027561947720
1.0670000000000	-0.70912555550951
1.0680000000000	-0.70797713401530
1.0690000000000	-0.70683038837659
1.0700000000000	-0.70568535191863
1.0710000000000	-0.70454205790866
1.0720000000000	-0.70340053955472
1.0730000000000	-0.70226083000443
1.0740000000000	-0.70112296234383
1.0750000000000	-0.69998696959616
1.0760000000000	-0.69885288472067
1.0770000000000	-0.69772074061146
1.0780000000000	-0.69659057009624
1.0790000000000	-0.69546240593522
1.0800000000000	-0.69433628081992
1.0810000000000	-0.69321222737194
1.0820000000000	-0.69209027814187
1.0830000000000	-0.69097046560811
1.0840000000000	-0.68985282217567
1.0850000000000	-0.68873738017507
1.0860000000000	-0.68762417186114
1.0870000000000	-0.68651322941195
1.0880000000000	-0.68540458492756
1.0890000000000	-0.68429827042902
1.0900000000000	-0.68319431785709
1.0910000000000	-0.68209275907123
1.0920000000000	-0.68099362584841
1.0930000000000	-0.67989694988207
1.0940000000000	-0.67880276278089
1.0950000000000	-0.67771109606777
1.0960000000000	-0.67662198117870
1.0970000000000	-0.67553544946168
1.0980000000000	-0.67445153217558
1.0990000000000	-0.67337026048911
1.1000000000000	-0.67229166547968
1.1010000000000	-0.67121577813238
1.1020000000000	-0.67014262933884
1.1030000000000	-0.66907224989623
1.1040000000000	-0.66800467050612
1.1050000000000	-0.66693992177350
1.1060000000000	-0.66587803420568
1.1070000000000	-0.66481903821126
1.1080000000000	-0.66376296409907
1.1090000000000	-0.66270984207716
1.1100000000000	-0.66165970225174
1.1110000000000	-0.66061257462618
1.1120000000000	-0.65956848909996
1.1130000000000	-0.65852747546771
1.1140000000000	-0.65748956341812
1.1150000000000	-0.65645478253300
1.1160000000000	-0.65542316228629
1.1170000000000	-0.65439473204298
1.1180000000000	-0.65336952105825
1.1190000000000	-0.65234755847639
1.1200000000000	-0.65132887332985
1.1210000000000	-0.65031349453831
1.1220000000000	-0.64930145090768
1.1230000000000	-0.64829277112914
1.1240000000000	-0.64728748377819
1.1250000000000	-0.64628561731375
1.1260000000000	-0.64528720007718
1.1270000000000	-0.64429226029132
1.1280000000000	-0.64330082605964
1.1290000000000	-0.64231292536524
1.1300000000000	-0.64132858607001
1.1310000000000	-0.64034783591365
1.1320000000000	-0.63937070251283
1.1330000000000	-0.63839721336024
1.1340000000000	-0.63742739582374
1.1350000000000	-0.63646127714549
1.1360000000000	-0.63549888444100
1.1370000000000	-0.63454024469833
1.1380000000000	-0.63358538477723
1.1390000000000	-0.63263433140821
1.1400000000000	-0.63168711119176
1.1410000000000	-0.63074375059747
1.1420000000000	-0.62980427596321
1.1430000000000	-0.62886871349429
1.1440000000000	-0.62793708926263
1.1450000000000	-0.62700942920595
1.1460000000000	-0.62608575912696
1.1470000000000	-0.62516610469253
1.1480000000000	-0.62425049143295
1.1490000000000	-0.62333894474105
1.1500000000000	-0.62243148987150
1.1510000000000	-0.62152815193999
1.1520000000000	-0.62062895592243
1.1530000000000	-0.61973392665427
1.1540000000000	-0.61884308882966
1.1550000000000	-0.61795646700072
1.1560000000000	-0.61707408557682
1.1570000000000	-0.61619596882382
1.1580000000000	-0.61532214086334
1.1590000000000	-0.61445262567205
