#Parameters = {k=5; W0=1.5; h=1.6; W=22; t=0.035}
#"Frequency / GHz"	"S1,2 [Magnitude]"
#------------------------------------
1.0000000000000	-0.78810984256703
1.0010000000000	-0.78692679852089
1.0020000000000	-0.78574313346298
1.0030000000000	-0.78455888171394
1.0040000000000	-0.78337407762149
1.0050000000000	-0.78218875555922
1.0060000000000	-0.78100294992530
1.0070000000000	-0.77981669514118
1.0080000000000	-0.77863002565033
1.0090000000000	-0.77744297591697
1.0100000000000	-0.77625558042478
1.0110000000000	-0.77506787367561
1.0120000000000	-0.77387989018820
1.0130000000000	-0.77269166449691
1.0140000000000	-0.77150323115040
1.0150000000000	-0.77031462471043
1.0160000000000	-0.76912587975043
1.0170000000000	-0.76793703085435
1.0180000000000	-0.76674811261531
1.0190000000000	-0.76555915963430
1.0200000000000	-0.76437020651891
1.0210000000000	-0.76318128788206
1.0220000000000	-0.76199243834068
1.0230000000000	-0.76080369251442
1.0240000000000	-0.75961508502438
1.0250000000000	-0.75842665049182
1.0260000000000	-0.75723842353684
1.0270000000000	-0.75605043877713
1.0280000000000	-0.75486273082665
1.0290000000000	-0.75367533429434
1.0300000000000	-0.75248828378288
1.0310000000000	-0.75130161388733
1.0320000000000	-0.75011535919389
1.0330000000000	-0.74892955427859
1.0340000000000	-0.74774423370604
1.0350000000000	-0.74655943202809
1.0360000000000	-0.74537518378257
1.0370000000000	-0.74419152349204
1.0380000000000	-0.74300848566244
1.0390000000000	-0.74182610478186
1.0400000000000	-0.74064441531925
1.0410000000000	-0.73946345172312
1.0420000000000	-0.73828324842028
1.0430000000000	-0.73710383981455
1.0440000000000	-0.73592526028551
1.0450000000000	-0.73474754418720
1.0460000000000	-0.73357072584686
1.0470000000000	-0.73239483956364
1.0480000000000	-0.73121991960740
1.0490000000000	-0.73004600021732
1.0500000000000	-0.72887311560076
1.0510000000000	-0.72770129993192
1.0520000000000	-0.72653058735063
1.0530000000000	-0.72536101196103
1.0540000000000	-0.72419260783037
1.0550000000000	-0.72302540898774
1.0560000000000	-0.72185944942280
1.0570000000000	-0.72069476308454
1.0580000000000	-0.71953138388006
1.0590000000000	-0.71836934567328
1.0600000000000	-0.71720868228374
1.0610000000000	-0.71604942748533
1.0620000000000	-0.71489161500507
1.0630000000000	-0.71373527852188
1.0640000000000	-0.71258045166535
1.0650000000000	-0.71142716801449
1.0660000000000	-0.71027546109653
1.0670000000000	-0.70912536438569
1.0680000000000	-0.70797691130198
1.0690000000000	-0.70683013520994
1.0700000000000	-0.70568506941749
1.0710000000000	-0.70454174717467
1.0720000000000	-0.70340020167246
1.0730000000000	-0.70226046604158
1.0740000000000	-0.70112257335128
1.0750000000000	-0.69998655660815
1.0760000000000	-0.69885244875497
1.0770000000000	-0.69772028266944
1.0780000000000	-0.69659009116307
1.0790000000000	-0.69546190697999
1.0800000000000	-0.69433576279573
1.0810000000000	-0.69321169121610
1.0820000000000	-0.69208972477603
1.0830000000000	-0.69096989593832
1.0840000000000	-0.68985223709261
1.0850000000000	-0.68873678055412
1.0860000000000	-0.68762355856256
1.0870000000000	-0.68651260328097
1.0880000000000	-0.68540394679455
1.0890000000000	-0.68429762110957
1.0900000000000	-0.68319365815220
1.0910000000000	-0.68209208976742
1.0920000000000	-0.68099294771785
1.0930000000000	-0.67989626368269
1.0940000000000	-0.67880206925653
1.0950000000000	-0.67771039594833
1.0960000000000	-0.67662127518023
1.0970000000000	-0.67553473828652
1.0980000000000	-0.67445081651252
1.0990000000000	-0.67336954101346
1.1000000000000	-0.67229094285345
1.1010000000000	-0.67121505300436
1.1020000000000	-0.67014190234477
1.1030000000000	-0.66907152165887
1.1040000000000	-0.66800394163547
1.1050000000000	-0.66693919286682
1.1060000000000	-0.66587730584768
1.1070000000000	-0.66481831097419
1.1080000000000	-0.66376223854287
1.1090000000000	-0.66270911874955
1.1100000000000	-0.66165898168837
1.1110000000000	-0.66061185735074
1.1120000000000	-0.65956777562431
1.1130000000000	-0.65852676629198
1.1140000000000	-0.65748885903086
1.1150000000000	-0.65645408341128
1.1160000000000	-0.65542246889580
1.1170000000000	-0.65439404483820
1.1180000000000	-0.65336884048252
1.1190000000000	-0.65234688496205
1.1200000000000	-0.65132820729836
1.1210000000000	-0.65031283640036
1.1220000000000	-0.64930080106329
1.1230000000000	-0.64829212996779
1.1240000000000	-0.64728685167898
1.1250000000000	-0.64628499464543
1.1260000000000	-0.64528658719830
1.1270000000000	-0.64429165755038
1.1280000000000	-0.64330023379513
1.1290000000000	-0.64231234390584
1.1300000000000	-0.64132801573461
1.1310000000000	-0.64034727701153
1.1320000000000	-0.63937015534374
1.1330000000000	-0.63839667821453
1.1340000000000	-0.63742687298246
1.1350000000000	-0.63646076688046
1.1360000000000	-0.63549838701500
1.1370000000000	-0.63453976036513
1.1380000000000	-0.63358491378174
1.1390000000000	-0.63263387398658
1.1400000000000	-0.63168666757150
1.1410000000000	-0.63074332099751
1.1420000000000	-0.62980386059405
1.1430000000000	-0.62886831255811
1.1440000000000	-0.62793670295334
1.1450000000000	-0.62700905770936
1.1460000000000	-0.62608540262082
1.1470000000000	-0.62516576334669
1.1480000000000	-0.62425016540944
1.1490000000000	-0.62333863419416
1.1500000000000	-0.62243119494792
1.1510000000000	-0.62152787277886
1.1520000000000	-0.62062869265552
1.1530000000000	-0.61973367940599
1.1540000000000	-0.61884285771721
1.1550000000000	-0.61795625213418
1.1560000000000	-0.61707388705926
1.1570000000000	-0.61619578675136
1.1580000000000	-0.61532197532529
1.1590000000000	-0.61445247675098
