Frequency (Hz),Real Part,Imaginary Part
1600000000.0,-0.781123,0.530341
1607000000.0,-0.758123,0.563809
1614000000.0,-0.73375,0.595739
1621000000.0,-0.704483,0.623204
1628000000.0,-0.673432,0.65769
1635000000.0,-0.638056,0.692395
1642000000.0,-0.598434,0.721591
1649000000.0,-0.565883,0.74905
1656000000.0,-0.520396,0.773957
1663000000.0,-0.483649,0.79477
1670000000.0,-0.453184,0.817726
1677000000.0,-0.415928,0.837894
1684000000.0,-0.364284,0.857902
1691000000.0,-0.334356,0.86824
1698000000.0,-0.28177,0.883304
1705000000.0,-0.225216,0.899308
1712000000.0,-0.195473,0.905916
1719000000.0,-0.14594,0.915354
1726000000.0,-0.110779,0.918287
1733000000.0,-0.073648,0.919007
1740000000.0,-0.021138,0.922822
1747000000.0,0.017589,0.914854
1754000000.0,0.059103,0.91261
1761000000.0,0.100756,0.904935
1768000000.0,0.14542,0.894924
1775000000.0,0.185458,0.880074
1782000000.0,0.23471,0.869639
1789000000.0,0.26862,0.858845
1796000000.0,0.30737,0.840397
1803000000.0,0.348671,0.818128
1810000000.0,0.381691,0.807734
1817000000.0,0.424863,0.780378
1824000000.0,0.451227,0.766741
1831000000.0,0.492011,0.735143
1838000000.0,0.531071,0.698978
1845000000.0,0.557583,0.670712
1852000000.0,0.583983,0.641558
1859000000.0,0.612454,0.603808
1866000000.0,0.63821,0.573856
1873000000.0,0.666528,0.527501
1880000000.0,0.690259,0.500073
1887000000.0,0.715641,0.460023
1894000000.0,0.734011,0.418948
1901000000.0,0.753911,0.373646
1908000000.0,0.758588,0.329251
1915000000.0,0.766367,0.285807
1922000000.0,0.774759,0.246407
1929000000.0,0.773462,0.228843
1936000000.0,0.778134,0.160329
1943000000.0,0.775279,0.118844
1950000000.0,0.773587,0.070844
1957000000.0,0.761201,0.034096
1964000000.0,0.745067,-0.012754
1971000000.0,0.72541,-0.044119
1978000000.0,0.705907,-0.076463
1985000000.0,0.683716,-0.107082
1992000000.0,0.657563,-0.135217
1999000000.0,0.631942,-0.159429
2006000000.0,0.606425,-0.175592
2013000000.0,0.582738,-0.187616
2020000000.0,0.558355,-0.196618
2027000000.0,0.540459,-0.203992
2034000000.0,0.523402,-0.202509
2041000000.0,0.509684,-0.206908
2048000000.0,0.509028,-0.1986
2055000000.0,0.504744,-0.205489
2062000000.0,0.507858,-0.213421
2069000000.0,0.511327,-0.220245
2076000000.0,0.515213,-0.235844
2083000000.0,0.524694,-0.252261
2090000000.0,0.530047,-0.275954
2097000000.0,0.534636,-0.30418
2104000000.0,0.53179,-0.333282
2111000000.0,0.523617,-0.371447
2118000000.0,0.512593,-0.403148
2125000000.0,0.496686,-0.441052
2132000000.0,0.473604,-0.471472
2139000000.0,0.442335,-0.50819
2146000000.0,0.405965,-0.533776
2153000000.0,0.36199,-0.559474
2160000000.0,0.320583,-0.572773
2167000000.0,0.273607,-0.589358
2174000000.0,0.306149,-0.566109
2181000000.0,0.185644,-0.597165
2188000000.0,0.136539,-0.592281
2195000000.0,0.101428,-0.580669
2202000000.0,0.060319,-0.558704
2209000000.0,0.02711,-0.536182
2216000000.0,0.010385,-0.511481
2223000000.0,-0.014178,-0.482506
2230000000.0,0.021359,-0.456759
2237000000.0,-0.039763,-0.423491
2244000000.0,-0.001179,-0.400545
2251000000.0,-0.036684,-0.368991
2258000000.0,-0.02761,-0.34524
2265000000.0,-0.016783,-0.32299
2272000000.0,0.012617,-0.306361
2279000000.0,0.030646,-0.297224
2286000000.0,0.050805,-0.295841
2293000000.0,0.072038,-0.30178
2300000000.0,0.092168,-0.317904
2307000000.0,0.110836,-0.341235
2314000000.0,0.130772,-0.36859
2321000000.0,0.136033,-0.405875
2328000000.0,0.141411,-0.439999
2335000000.0,0.137698,-0.485406
2342000000.0,0.120752,-0.524743
2349000000.0,0.09589,-0.567418
2356000000.0,0.068118,-0.601794
2363000000.0,0.032673,-0.633984
2370000000.0,-0.00729,-0.661201
2377000000.0,-0.062213,-0.684338
2384000000.0,-0.112928,-0.698198
2391000000.0,-0.160116,-0.703569
2398000000.0,-0.212861,-0.711568
2405000000.0,-0.278715,-0.710681
2412000000.0,-0.334965,-0.702065
2419000000.0,-0.388877,-0.685059
2426000000.0,-0.452283,-0.650722
2433000000.0,-0.490332,-0.638087
2440000000.0,-0.519419,-0.625433
2447000000.0,-0.564593,-0.592214
2454000000.0,-0.604539,-0.555094
2461000000.0,-0.636559,-0.521186
2468000000.0,-0.672148,-0.480529
2475000000.0,-0.705532,-0.429514
2482000000.0,-0.72253,-0.395553
2489000000.0,-0.743717,-0.351838
2496000000.0,-0.758738,-0.309901
2503000000.0,-0.78069,-0.259385
2510000000.0,-0.785892,-0.204477
2517000000.0,-0.788978,-0.166026
2524000000.0,-0.790591,-0.128149
2531000000.0,-0.796009,-0.082925
2538000000.0,-0.795634,-0.024478
2545000000.0,-0.795871,0.012843
2552000000.0,-0.791359,0.050188
2559000000.0,-0.782887,0.09484
2566000000.0,-0.778862,0.136182
2573000000.0,-0.760635,0.177809
2580000000.0,-0.745865,0.229265
2587000000.0,-0.733922,0.263946
2594000000.0,-0.705142,0.31502
2601000000.0,-0.710073,0.285104
2608000000.0,-0.655827,0.368844
2615000000.0,-0.621187,0.415334
2622000000.0,-0.58972,0.436455
2629000000.0,-0.542434,0.468043
2636000000.0,-0.502908,0.490885
2643000000.0,-0.460755,0.508358
2650000000.0,-0.42072,0.516493
2657000000.0,-0.383056,0.522277
2664000000.0,-0.35048,0.523386
2671000000.0,-0.310974,0.525995
2678000000.0,-0.274478,0.514347
2685000000.0,-0.242337,0.509297
2692000000.0,-0.225111,0.494133
2699000000.0,-0.203961,0.474544
2706000000.0,-0.186716,0.464138
2713000000.0,-0.184507,0.449565
2720000000.0,-0.177745,0.438286
2727000000.0,-0.182488,0.431268
2734000000.0,-0.182049,0.4267
2741000000.0,-0.184975,0.420807
2748000000.0,-0.18921,0.422469
2755000000.0,-0.181637,0.429982
2762000000.0,-0.185184,0.43615
2769000000.0,-0.184549,0.452291
2776000000.0,-0.163086,0.471292
2783000000.0,-0.16264,0.482909
2790000000.0,-0.082584,0.516994
2797000000.0,-0.113186,0.527604
2804000000.0,-0.113277,0.549713
2811000000.0,-0.087581,0.567687
2818000000.0,-0.060967,0.587751
2825000000.0,-0.033316,0.60231
2832000000.0,-0.010116,0.609751
2839000000.0,0.014396,0.617458
2846000000.0,0.043602,0.621783
2853000000.0,0.079439,0.622478
2860000000.0,0.110413,0.622617
2867000000.0,0.145016,0.609966
2874000000.0,0.176858,0.602401
2881000000.0,0.204796,0.592353
2888000000.0,0.300467,0.542584
2895000000.0,0.268229,0.566493
2902000000.0,0.288473,0.554113
2909000000.0,0.320414,0.536735
2916000000.0,0.339374,0.518559
2923000000.0,0.357432,0.502407
2930000000.0,0.379343,0.485399
2937000000.0,0.394908,0.47142
2944000000.0,0.414416,0.453405
2951000000.0,0.421037,0.443591
2958000000.0,0.448983,0.405191
2965000000.0,0.480451,0.361799
2972000000.0,0.471831,0.371623
2979000000.0,0.487916,0.34437
2986000000.0,0.500798,0.323814
2993000000.0,0.515572,0.292887
3000000000.0,0.527503,0.270352
