Freq (Hz),s21avg
2200000000.0,-1.0548094928828118
2200800800.800801,-1.0665593973561323
2201601601.6016016,-1.0783093018294525
2202402402.4024024,-1.090059206302773
2203203203.203203,-1.1018091107760937
2204004004.004004,-1.117272152892654
2204804804.804805,-1.133455654551934
2205605605.6056056,-1.1496391562112143
2206406406.4064064,-1.165822657870494
2207207207.207207,-1.1820061595297744
2208008008.008008,-1.1847394844814614
2208808808.808809,-1.1849583847073928
2209609609.6096096,-1.1851772849333242
2210410410.4104104,-1.1853961851592554
2211211211.211211,-1.1856150853851868
2212012012.012012,-1.2036415358735952
2212812812.812813,-1.2248722948163182
2213613613.6136136,-1.2461030537590412
2214414414.4144144,-1.2673338127017644
2215215215.215215,-1.288564571644488
2216016016.016016,-1.29213921450351
2216816816.816817,-1.2926589868377811
2217617617.6176176,-1.2931787591720514
2218418418.4184184,-1.2936985315063223
2219219219.219219,-1.2942183038405934
2220020020.02002,-1.3080189146343113
2220820820.820821,-1.3240265452303317
2221621621.6216216,-1.3400341758263523
2222422422.4224224,-1.3560418064223725
2223223223.223223,-1.372049437018393
2224024024.024024,-1.3816281821771057
2224824824.824825,-1.3901820325559557
2225625625.6256256,-1.3987358829348049
2226426426.4264264,-1.4072897333136547
2227227227.227227,-1.4158435836925045
2228028028.028028,-1.4350696100846156
2228828828.828829,-1.455925680651666
2229629629.6296296,-1.476781751218716
2230430430.4304304,-1.497637821785766
2231231231.231231,-1.518493892352816
2232032032.032032,-1.5291720157780537
2232832832.832833,-1.5383628174146566
2233633633.6336336,-1.5475536190512595
2234434434.4344344,-1.5567444206878625
2235235235.235235,-1.5659352223244656
2236036036.036036,-1.5957532271750563
2236836836.836837,-1.6284508131011097
2237637637.6376376,-1.6611483990271636
2238438438.4384384,-1.6938459849532177
2239239239.239239,-1.7265435708792716
2240040040.04004,-1.7360635809097729
2240840840.840841,-1.7424976247445416
2241641641.6416416,-1.7489316685793115
2242442442.4424424,-1.75536571241408
2243243243.243243,-1.7617997562488492
2244044044.044044,-1.7910215051165521
2244844844.844845,-1.823131836312379
2245645645.6456456,-1.8552421675082076
2246446446.4464464,-1.887352498704035
2247247247.247247,-1.9194628298998626
2248048048.048048,-1.937166625952367
2248848848.848849,-1.9531351810772393
2249649649.6496496,-1.9691037362021127
2250450450.4504504,-1.9850722913269854
2251251251.251251,-2.0010408464518585
2252052052.052052,-2.027624088767118
2252852852.852853,-2.0554195934077453
2253653653.6536536,-2.083215098048372
2254454454.4544544,-2.111010602689
2255255255.255255,-2.1388061073296267
2256056056.056056,-2.176841374442284
2256856856.856857,-2.21598287628184
2257657657.6576576,-2.255124378121395
2258458458.4584584,-2.2942658799609505
2259259259.259259,-2.3334073818005066
2260060060.06006,-2.362494865390633
2260860860.860861,-2.390557559241835
2261661661.6616616,-2.4186202530930365
2262462462.4624624,-2.4466829469442377
2263263263.263263,-2.47474564079544
2264064064.064064,-2.52296149352198
2264864864.864865,-2.5731098409352025
2265665665.6656656,-2.623258188348425
2266466466.4664664,-2.673406535761649
2267267267.267267,-2.723554883174872
2268068068.068068,-2.7635618052584543
2268868868.868869,-2.802656828061711
2269669669.6696696,-2.841751850864967
2270470470.4704704,-2.880846873668223
2271271271.271271,-2.919941896471481
2272072072.072072,-2.9709982742017345
2272872872.872873,-3.0230595354082435
2273673673.6736736,-3.075120796614752
2274474474.4744744,-3.1271820578212606
2275275275.275275,-3.179243319027769
2276076076.076076,-3.2361337227419993
2276876876.876877,-3.293401606598346
2277677677.6776776,-3.3506694904546905
2278478478.4784784,-3.407937374311035
2279279279.279279,-3.465205258167381
2280080080.08008,-3.5170373495571416
2280880880.880881,-3.5684759653528055
2281681681.6816816,-3.619914581148467
2282482482.4824824,-3.6713531969441315
2283283283.283283,-3.722791812739794
2284084084.084084,-3.80467059125091
2284884884.884885,-3.8885787139430623
2285685685.6856856,-3.9724868366352157
2286486486.4864864,-4.056394959327369
2287287287.287287,-4.140303082019522
2288088088.088088,-4.197464184014217
2288888888.888889,-4.252993504905344
2289689689.6896896,-4.308522825796475
2290490490.4904904,-4.3640521466876026
2291291291.291291,-4.419581467578731
2292092092.092092,-4.507593499585651
2292892892.892893,-4.597405365190025
2293693693.6936936,-4.687217230794399
2294494494.4944944,-4.777029096398771
2295295295.2952952,-4.866840962003146
2296096096.096096,-4.944121794956404
2296896896.896897,-5.020777720769578
2297697697.6976976,-5.09743364658275
2298498498.4984984,-5.174089572395925
2299299299.2992992,-5.250745498209097
2300100100.1001,-5.344579493446381
2300900900.900901,-5.439175961739047
2301701701.7017016,-5.533772430031713
2302502502.5025024,-5.62836889832438
2303303303.3033032,-5.722965366617046
2304104104.104104,-5.8288547611476655
2304904904.904905,-5.935184139817432
2305705705.7057056,-6.041513518487196
2306506506.5065064,-6.147842897156961
2307307307.3073072,-6.254172275826729
2308108108.108108,-6.361143026226217
2308908908.908909,-6.468135321412492
2309709709.7097096,-6.575127616598768
2310510510.5105104,-6.682119911785042
2311311311.3113112,-6.7891122069713195
2312112112.112112,-6.9039536172490985
2312912912.912913,-7.019016981938203
2313713713.7137136,-7.134080346627312
2314514514.5145144,-7.249143711316417
2315315315.3153152,-7.364207076005528
2316116116.116116,-7.482626623095578
2316916916.916917,-7.601123422465956
2317717717.7177176,-7.719620221836332
2318518518.5185184,-7.838117021206713
2319319319.3193192,-7.956613820577089
2320120120.12012,-8.064698213096817
2320920920.920921,-8.172597142899095
2321721721.7217216,-8.280496072701379
2322522522.5225224,-8.388395002503657
2323323323.3233232,-8.496293932305935
2324124124.124124,-8.615971413017727
2324924924.924925,-8.735797989310656
2325725725.7257257,-8.855624565603584
2326526526.5265265,-8.97545114189651
2327327327.3273273,-9.095277718189438
2328128128.128128,-9.207364919373878
2328928928.928929,-9.31939363661544
2329729729.7297297,-9.431422353856993
2330530530.5305305,-9.543451071098554
2331331331.3313313,-9.65547978834011
2332132132.132132,-9.761211665230272
2332932932.932933,-9.866927760565666
2333733733.7337337,-9.972643855901064
2334534534.5345345,-10.078359951236456
2335335335.3353353,-10.18406203899783
2336136136.136136,-10.2841751047235
2336936936.936937,-10.384288170449173
2337737737.7377377,-10.484401236174845
2338538538.5385385,-10.584514301900517
2339339339.3393393,-10.684441552103603
2340140140.14014,-10.759779214816556
2340940940.940941,-10.835116877529503
2341741741.7417417,-10.910454540242453
2342542542.5425425,-10.9857922029554
2343343343.3433433,-11.061001686949554
2344144144.144144,-11.126085052158343
2344944944.944945,-11.19116841736714
2345745745.7457457,-11.256251782575925
2346546546.5465465,-11.32133514778472
2347347347.3473473,-11.385947354940559
2348148148.148148,-11.424107402837503
2348948948.948949,-11.46226745073444
2349749749.7497497,-11.500427498631382
2350550550.5505505,-11.538587546528325
2351351351.3513513,-11.576405431133548
2352152152.152152,-11.599358221620669
2352952952.952953,-11.622311012107787
2353753753.7537537,-11.645263802594906
2354554554.5545545,-11.668216593082025
2355355355.3553553,-11.690699264905625
2356156156.156156,-11.696556831264608
2356956956.956957,-11.702414397623595
2357757757.7577577,-11.708271963982583
2358558558.5585585,-11.71412953034157
2359359359.3593593,-11.719273885571704
2360160160.16016,-11.703186494119706
2360960960.960961,-11.687099102667705
2361761761.7617617,-11.671011711215709
2362562562.5625625,-11.65492431976371
2363363363.3633633,-11.638410637625471
2364164164.164164,-11.610955494540217
2364964964.964965,-11.583500351454969
2365765765.7657657,-11.556045208369715
2366566566.5665665,-11.528590065284464
2367367367.3673673,-11.500376580849652
2368168168.168168,-11.45507811189228
2368968968.968969,-11.40977964293492
2369769769.7697697,-11.36448117397755
2370570570.5705705,-11.319182705020188
2371371371.3713713,-11.274030867568285
2372172172.172172,-11.231819377673352
2372972972.972973,-11.189607887778424
2373773773.7737737,-11.147396397883492
2374574574.5745745,-11.105184907988564
2375375375.3753753,-11.062278471820752
2376176176.176176,-11.00682991006134
2376976976.976977,-10.951381348301933
2377777777.7777777,-10.895932786542517
2378578578.5785785,-10.840484224783108
2379379379.3793793,-10.785076338896062
2380180180.18018,-10.73033518361255
2380980980.980981,-10.675594028329037
2381781781.7817817,-10.620852873045523
2382582582.5825825,-10.56611171776201
2383383383.3833833,-10.511450836763935
2384184184.184184,-10.457994070047373
2384984984.984985,-10.40453730333082
2385785785.7857857,-10.351080536614264
2386586586.5865865,-10.297623769897708
2387387387.3873873,-10.244216225558683
2388188188.188188,-10.191488679249936
2388988988.988989,-10.13876113294119
2389789789.7897897,-10.086033586632444
2390590590.5905905,-10.0333060403237
2391391391.3913913,-9.980805158427676
2392192192.192192,-9.93120401781171
2392992992.992993,-9.881602877195737
2393793793.7937937,-9.832001736579766
2394594594.5945945,-9.7824005959638
2395395395.3953953,-9.733161928976939
2396196196.196196,-9.688237867446281
2396996996.996997,-9.643313805915612
2397797797.7977977,-9.59838974438495
2398598598.5985985,-9.55346568285429
2399399399.3993993,-9.509174469647718
2400200200.2002,-9.47192129689398
2401001001.001001,-9.434668124140243
2401801801.8018017,-9.39741495138651
2402602602.6026025,-9.360161778632774
2403403403.4034033,-9.322987412588496
2404204204.204204,-9.286634887942876
2405005005.005005,-9.250282363297254
2405805805.8058057,-9.213929838651634
2406606606.6066065,-9.177577314006012
2407407407.4074073,-9.142155150275856
2408208208.208208,-9.115860581473134
2409009009.009009,-9.08956601267041
2409809809.8098097,-9.063271443867686
2410610610.6106105,-9.036976875064965
2411411411.4114113,-9.011191997488107
2412212212.212212,-8.990125031001996
2413013013.013013,-8.969058064515881
2413813813.8138137,-8.947991098029773
2414614614.6146145,-8.926924131543661
2415415415.4154153,-8.907682885403842
2416216216.216216,-8.904427824735306
2417017017.017017,-8.901172764066764
2417817817.8178177,-8.897917703398226
2418618618.6186185,-8.89466264272969
2419419419.4194193,-8.891784596856755
2420220220.22022,-8.892036650565982
2421021021.021021,-8.89228870427521
2421821821.8218217,-8.892540757984436
2422622622.6226225,-8.892792811693662
2423423423.4234233,-8.893791515776508
2424224224.224224,-8.900680461695732
2425025025.025025,-8.907569407614956
2425825825.8258257,-8.914458353534178
2426626626.6266265,-8.921347299453405
2427427427.4274273,-8.929814166737767
2428228228.228228,-8.95013223065824
2429029029.029029,-8.970450294578704
2429829829.8298297,-8.990768358499176
2430630630.6306305,-9.011086422419647
2431431431.4314313,-9.033184783027364
