Frequency (Hz),Real Part,Imaginary Part
1600000000.0,-0.782764,0.527507
1607000000.0,-0.761523,0.563133
1614000000.0,-0.730406,0.598361
1621000000.0,-0.707135,0.625718
1628000000.0,-0.666305,0.665824
1635000000.0,-0.63699,0.692302
1642000000.0,-0.599516,0.722406
1649000000.0,-0.558126,0.752435
1656000000.0,-0.521072,0.775844
1663000000.0,-0.490353,0.796711
1670000000.0,-0.451049,0.817565
1677000000.0,-0.407366,0.84011
1684000000.0,-0.368246,0.855009
1691000000.0,-0.331935,0.869738
1698000000.0,-0.279858,0.884056
1705000000.0,-0.235901,0.898253
1712000000.0,-0.193553,0.906831
1719000000.0,-0.150783,0.913403
1726000000.0,-0.108521,0.921014
1733000000.0,-0.060927,0.922077
1740000000.0,-0.015822,0.924041
1747000000.0,0.014111,0.917008
1754000000.0,0.066763,0.912056
1761000000.0,0.104701,0.902898
1768000000.0,0.157424,0.889707
1775000000.0,0.195321,0.883318
1782000000.0,0.231511,0.872403
1789000000.0,0.283981,0.848903
1796000000.0,0.319256,0.829442
1803000000.0,0.311176,0.839564
1810000000.0,0.395675,0.79334
1817000000.0,0.438272,0.768127
1824000000.0,0.468503,0.751977
1831000000.0,0.508554,0.7157
1838000000.0,0.536457,0.684911
1845000000.0,0.561014,0.655641
1852000000.0,0.589468,0.614656
1859000000.0,0.608954,0.577402
1866000000.0,0.637611,0.554337
1873000000.0,0.670504,0.509094
1880000000.0,0.688284,0.464453
1887000000.0,0.705124,0.428718
1894000000.0,0.721137,0.385821
1901000000.0,0.735917,0.334608
1908000000.0,0.738129,0.296257
1915000000.0,0.741327,0.259865
1922000000.0,0.741343,0.20699
1929000000.0,0.740963,0.173692
1936000000.0,0.730102,0.130713
1943000000.0,0.719428,0.088207
1950000000.0,0.707949,0.052028
1957000000.0,0.688674,0.01899
1964000000.0,0.668752,-0.00836
1971000000.0,0.64484,-0.033789
1978000000.0,0.624049,-0.05253
1985000000.0,0.60222,-0.061676
1992000000.0,0.584983,-0.077265
1999000000.0,0.568467,-0.086529
2006000000.0,0.554278,-0.093025
2013000000.0,0.548652,-0.091561
2020000000.0,0.543133,-0.09455
2027000000.0,0.542037,-0.097869
2034000000.0,0.546061,-0.10064
2041000000.0,0.55218,-0.110613
2048000000.0,0.560336,-0.123358
2055000000.0,0.570514,-0.138101
2062000000.0,0.58161,-0.158372
2069000000.0,0.590448,-0.179484
2076000000.0,0.592939,-0.216648
2083000000.0,0.599008,-0.250973
2090000000.0,0.603105,-0.276062
2097000000.0,0.593289,-0.320082
2104000000.0,0.579804,-0.368795
2111000000.0,0.56205,-0.408601
2118000000.0,0.541282,-0.443001
2125000000.0,0.506536,-0.482226
2132000000.0,0.48007,-0.511755
2139000000.0,0.439676,-0.540329
2146000000.0,0.394672,-0.560364
2153000000.0,0.348152,-0.580121
2160000000.0,0.30277,-0.588376
2167000000.0,0.253351,-0.592436
2174000000.0,0.206239,-0.596104
2181000000.0,0.161849,-0.587169
2188000000.0,0.117779,-0.573003
2195000000.0,0.080879,-0.549288
2202000000.0,0.050042,-0.52477
2209000000.0,0.029276,-0.496741
2216000000.0,0.013527,-0.469655
2223000000.0,0.00151,-0.4408
2230000000.0,-0.001082,-0.411055
2237000000.0,-1.7e-05,-0.3843
2244000000.0,0.014419,-0.362866
2251000000.0,0.015067,-0.344818
2258000000.0,0.037025,-0.330018
2265000000.0,0.054258,-0.319449
2272000000.0,0.071533,-0.313124
2279000000.0,0.091057,-0.312307
2286000000.0,0.111358,-0.322412
2293000000.0,0.123299,-0.341045
2300000000.0,0.141248,-0.36304
2307000000.0,0.148828,-0.394029
2314000000.0,0.158019,-0.426333
2321000000.0,0.155945,-0.462942
2328000000.0,0.154498,-0.494872
2335000000.0,0.135541,-0.541377
2342000000.0,0.116828,-0.578979
2349000000.0,0.087251,-0.613177
2356000000.0,0.049076,-0.649575
2363000000.0,0.005241,-0.676463
2370000000.0,-0.035435,-0.696735
2377000000.0,-0.085953,-0.713353
2384000000.0,-0.140371,-0.721173
2391000000.0,-0.19632,-0.726942
2398000000.0,-0.258213,-0.720941
2405000000.0,-0.309912,-0.71141
2412000000.0,-0.369591,-0.715645
2419000000.0,-0.412938,-0.689043
2426000000.0,-0.467537,-0.666846
2433000000.0,-0.504734,-0.642331
2440000000.0,-0.55066,-0.610219
2447000000.0,-0.599266,-0.573167
2454000000.0,-0.626928,-0.541893
2461000000.0,-0.662216,-0.499848
2468000000.0,-0.694514,-0.459968
2475000000.0,-0.716187,-0.415381
2482000000.0,-0.736238,-0.374086
2489000000.0,-0.753674,-0.324148
2496000000.0,-0.766431,-0.286981
2503000000.0,-0.777382,-0.241633
2510000000.0,-0.775685,-0.196143
2517000000.0,-0.785294,-0.137686
2524000000.0,-0.786206,-0.106378
2531000000.0,-0.784424,-0.060445
2538000000.0,-0.781532,-0.020373
2545000000.0,-0.776812,0.033325
2552000000.0,-0.768891,0.069737
2559000000.0,-0.756997,0.115647
2566000000.0,-0.742664,0.140792
2573000000.0,-0.72074,0.185052
2580000000.0,-0.708571,0.219702
2587000000.0,-0.681565,0.256225
2594000000.0,-0.661449,0.285422
2601000000.0,-0.636743,0.312037
2608000000.0,-0.607188,0.338053
2615000000.0,-0.578149,0.358719
2622000000.0,-0.545363,0.38232
2629000000.0,-0.517252,0.392262
2636000000.0,-0.480718,0.40818
2643000000.0,-0.429916,0.436389
2650000000.0,-0.415196,0.436932
2657000000.0,-0.410126,0.431556
2664000000.0,-0.393026,0.431643
2671000000.0,-0.379356,0.433535
2678000000.0,-0.354199,0.440557
2685000000.0,-0.350456,0.43867
2692000000.0,-0.33358,0.438731
2699000000.0,-0.318012,0.448084
2706000000.0,-0.312728,0.453981
2713000000.0,-0.307553,0.462667
2720000000.0,-0.30142,0.466081
2727000000.0,-0.298528,0.475154
2734000000.0,-0.287561,0.485254
2741000000.0,-0.278261,0.50517
2748000000.0,-0.259385,0.514479
2755000000.0,-0.25353,0.526672
2762000000.0,-0.236224,0.540973
2769000000.0,-0.203582,0.559869
2776000000.0,-0.181103,0.579232
2783000000.0,-0.145068,0.596775
2790000000.0,-0.115721,0.599776
2797000000.0,-0.093916,0.612201
2804000000.0,-0.071064,0.626281
2811000000.0,-0.041574,0.641546
2818000000.0,0.004271,0.650733
2825000000.0,0.027505,0.645251
2832000000.0,0.058785,0.649977
2839000000.0,0.086311,0.64988
2846000000.0,0.108211,0.644472
2853000000.0,0.141625,0.641693
2860000000.0,0.164325,0.632632
2867000000.0,0.201703,0.615539
2874000000.0,0.229944,0.605182
2881000000.0,0.256101,0.596823
2888000000.0,0.281473,0.580099
2895000000.0,0.306037,0.56423
2902000000.0,0.318403,0.557371
2909000000.0,0.352203,0.53037
2916000000.0,0.369571,0.51349
2923000000.0,0.396918,0.49314
2930000000.0,0.407058,0.478867
2937000000.0,0.430554,0.457114
2944000000.0,0.451062,0.432171
2951000000.0,0.459179,0.41919
2958000000.0,0.476775,0.39584
2965000000.0,0.489583,0.379989
2972000000.0,0.505685,0.348208
2979000000.0,0.513508,0.333533
2986000000.0,0.521425,0.308605
2993000000.0,0.541,0.274582
3000000000.0,0.549202,0.253571
