Frequency (Hz),Real Part,Imaginary Part
1600000000.0,-0.785563,0.518762
1607000000.0,-0.761117,0.559502
1614000000.0,-0.736922,0.591633
1621000000.0,-0.703019,0.630393
1628000000.0,-0.675884,0.653153
1635000000.0,-0.636028,0.691672
1642000000.0,-0.70462,0.629985
1649000000.0,-0.560054,0.744919
1656000000.0,-0.529616,0.767031
1663000000.0,-0.492726,0.792047
1670000000.0,-0.453423,0.818317
1677000000.0,-0.416861,0.83416
1684000000.0,-0.263345,0.884852
1691000000.0,-0.331708,0.866246
1698000000.0,-0.286356,0.881988
1705000000.0,-0.237612,0.893849
1712000000.0,-0.197481,0.906583
1719000000.0,-0.150753,0.909511
1726000000.0,0.00408,0.9162
1733000000.0,-0.070909,0.918433
1740000000.0,-0.026026,0.921504
1747000000.0,0.022426,0.914271
1754000000.0,0.057464,0.908995
1761000000.0,0.103504,0.90323
1768000000.0,0.147871,0.888667
1775000000.0,0.186748,0.881462
1782000000.0,0.226497,0.870506
1789000000.0,0.271407,0.853524
1796000000.0,0.309727,0.836331
1803000000.0,0.346134,0.817748
1810000000.0,0.387175,0.798602
1817000000.0,0.429023,0.77254
1824000000.0,0.457785,0.762896
1831000000.0,0.497147,0.726603
1838000000.0,0.530843,0.69382
1845000000.0,0.560401,0.6766
1852000000.0,0.589574,0.630452
1859000000.0,0.603417,0.608867
1866000000.0,0.634554,0.569442
1873000000.0,0.666042,0.519857
1880000000.0,0.68795,0.487844
1887000000.0,0.705718,0.449646
1894000000.0,0.729759,0.399886
1901000000.0,0.746213,0.351034
1908000000.0,0.748467,0.312815
1915000000.0,0.754729,0.27435
1922000000.0,0.756439,0.219967
1929000000.0,0.760585,0.184491
1936000000.0,0.752586,0.141865
1943000000.0,0.746768,0.096439
1950000000.0,0.734679,0.09152
1957000000.0,0.719444,0.014336
1964000000.0,0.69955,-0.009698
1971000000.0,0.672346,-0.054397
1978000000.0,0.64919,-0.073256
1985000000.0,0.628383,-0.090818
1992000000.0,0.606327,-0.110994
1999000000.0,0.595649,-0.050618
2006000000.0,0.561433,-0.131615
2013000000.0,0.524597,-0.190792
2020000000.0,0.532422,-0.137047
2027000000.0,0.52509,-0.138424
2034000000.0,0.523417,-0.128952
2041000000.0,0.523794,-0.137567
2048000000.0,0.529571,-0.141739
2055000000.0,0.537383,-0.154055
2062000000.0,0.543986,-0.171931
2069000000.0,0.554259,-0.189813
2076000000.0,0.559548,-0.215407
2083000000.0,0.568831,-0.24173
2090000000.0,0.568084,-0.281014
2097000000.0,0.562279,-0.312167
2104000000.0,0.551699,-0.353761
2111000000.0,0.536174,-0.392005
2118000000.0,0.509616,-0.430613
2125000000.0,0.487222,-0.461823
2132000000.0,0.459274,-0.483335
2139000000.0,0.409503,-0.5182
2146000000.0,0.366805,-0.534157
2153000000.0,0.32536,-0.541612
2160000000.0,0.275964,-0.547679
2167000000.0,0.231148,-0.548701
2174000000.0,0.182692,-0.540025
2181000000.0,0.147473,-0.527365
2188000000.0,0.114301,-0.50301
2195000000.0,0.09437,-0.478433
2202000000.0,0.073225,-0.452127
2209000000.0,0.062166,-0.423483
2216000000.0,0.063288,-0.395999
2223000000.0,0.065478,-0.372284
2230000000.0,0.072254,-0.351212
2237000000.0,0.087331,-0.334547
2244000000.0,0.108159,-0.32607
2251000000.0,0.127575,-0.324336
2258000000.0,0.116739,-0.336333
2265000000.0,0.163478,-0.336797
2272000000.0,0.184954,-0.350777
2279000000.0,0.195219,-0.37141
2286000000.0,0.200916,-0.401465
2293000000.0,0.198829,-0.435078
2300000000.0,0.192314,-0.468847
2307000000.0,0.184059,-0.505103
2314000000.0,0.170902,-0.536008
2321000000.0,0.15174,-0.571325
2328000000.0,0.13504,-0.595293
2335000000.0,0.104006,-0.637107
2342000000.0,0.064524,-0.663281
2349000000.0,0.040482,-0.691701
2356000000.0,-0.004169,-0.71239
2363000000.0,-0.051812,-0.728921
2370000000.0,-0.099612,-0.743513
2377000000.0,-0.153177,-0.746186
2384000000.0,-0.209174,-0.751917
2391000000.0,-0.257757,-0.750959
2398000000.0,-0.324582,-0.735374
2405000000.0,-0.377444,-0.720237
2412000000.0,-0.421559,-0.710206
