Frequency (Hz),Real Part,Imaginary Part
1600000000.0,-0.765778,0.553535
1607000000.0,-0.742626,0.584115
1614000000.0,-0.720055,0.614761
1621000000.0,-0.681698,0.648838
1628000000.0,-0.650064,0.686199
1635000000.0,-0.617312,0.709599
1642000000.0,-0.57737,0.742537
1649000000.0,-0.535979,0.76551
1656000000.0,-0.495927,0.786889
1663000000.0,-0.46658,0.806076
1670000000.0,-0.424895,0.828478
1677000000.0,-0.38365,0.846558
1684000000.0,-0.341207,0.864947
1691000000.0,-0.293995,0.879324
1698000000.0,-0.25496,0.885747
1705000000.0,-0.206296,0.9009
1712000000.0,-0.165533,0.907627
1719000000.0,-0.12591,0.915296
1726000000.0,-0.083173,0.917584
1733000000.0,-0.039372,0.918965
1740000000.0,-0.000793,0.917617
1747000000.0,0.035392,0.914233
1754000000.0,0.08838,0.907668
1761000000.0,0.135674,0.896835
1768000000.0,0.16891,0.880984
1775000000.0,0.212407,0.874385
1782000000.0,0.25609,0.860542
1789000000.0,0.289117,0.847062
1796000000.0,0.323162,0.829922
1803000000.0,0.372779,0.804516
1810000000.0,0.410704,0.784572
1817000000.0,0.441627,0.763167
1824000000.0,0.476426,0.745431
1831000000.0,0.516806,0.712141
1838000000.0,0.545654,0.68341
1845000000.0,0.576912,0.649939
1852000000.0,0.59825,0.629514
1859000000.0,0.619739,0.598493
1866000000.0,0.644502,0.563874
1873000000.0,0.677116,0.518218
1880000000.0,0.702671,0.481232
1887000000.0,0.72333,0.442803
1894000000.0,0.744521,0.395156
1901000000.0,0.761166,0.352981
1908000000.0,0.767002,0.315981
1915000000.0,0.771551,0.289384
1922000000.0,0.779712,0.228683
1929000000.0,0.790215,0.185659
1936000000.0,0.789197,0.142414
1943000000.0,0.785755,0.10341
1950000000.0,0.779249,0.05683
1957000000.0,0.773922,0.008072
1964000000.0,0.758249,-0.022497
1971000000.0,0.738142,-0.071807
1978000000.0,0.71934,-0.099214
1985000000.0,0.698487,-0.134192
1992000000.0,0.671522,-0.171357
1999000000.0,0.645525,-0.194245
2006000000.0,0.617396,-0.2166
2013000000.0,0.571501,-0.268439
2020000000.0,0.565001,-0.240409
2027000000.0,0.53647,-0.250872
2034000000.0,0.516093,-0.255866
2041000000.0,0.500477,-0.25339
2048000000.0,0.485004,-0.25525
2055000000.0,0.477052,-0.258263
2062000000.0,0.472257,-0.258153
2069000000.0,0.471683,-0.26569
2076000000.0,0.472507,-0.272815
2083000000.0,0.475088,-0.287207
2090000000.0,0.478231,-0.302935
2097000000.0,0.476541,-0.324406
2104000000.0,0.478708,-0.349059
2111000000.0,0.467038,-0.383624
2118000000.0,0.459838,-0.409186
2125000000.0,0.444322,-0.43936
2132000000.0,0.419413,-0.474711
2139000000.0,0.385833,-0.500004
2146000000.0,0.349755,-0.523044
2153000000.0,0.310262,-0.542287
2160000000.0,0.266413,-0.553812
2167000000.0,0.219158,-0.56071
2174000000.0,0.184237,-0.554172
2181000000.0,0.134132,-0.552008
2188000000.0,0.097559,-0.539848
2195000000.0,0.06456,-0.517797
2202000000.0,0.039859,-0.492213
2209000000.0,0.020926,-0.465689
2216000000.0,0.000951,-0.436587
2223000000.0,0.00012,-0.409404
2230000000.0,-0.001261,-0.381159
2237000000.0,0.005312,-0.355935
2244000000.0,0.019099,-0.334697
2251000000.0,0.035517,-0.319649
2258000000.0,0.054665,-0.307085
2265000000.0,0.075233,-0.300863
2272000000.0,0.101396,-0.300831
2279000000.0,0.140668,-0.305065
2286000000.0,0.142841,-0.332211
2293000000.0,0.156997,-0.361895
2300000000.0,0.167047,-0.398451
2307000000.0,0.166404,-0.442089
2314000000.0,0.166721,-0.478379
2321000000.0,0.151288,-0.523441
2328000000.0,0.138853,-0.558436
