Frequency (Hz),Real Part,Imaginary Part
1600000000.0,-0.783613,0.529718
1607000000.0,-0.758672,0.563491
1614000000.0,-0.734687,0.598155
1621000000.0,-0.70196,0.629525
1628000000.0,-0.674046,0.659406
1635000000.0,-0.639809,0.691095
1642000000.0,-0.597413,0.725276
1649000000.0,-0.569846,0.745913
1656000000.0,-0.522705,0.775251
1663000000.0,-0.495909,0.790883
1670000000.0,-0.458344,0.816397
1677000000.0,-0.413373,0.836558
1684000000.0,-0.372579,0.858326
1691000000.0,-0.332348,0.870765
1698000000.0,-0.284118,0.885513
1705000000.0,-0.238374,0.901642
1712000000.0,-0.197951,0.907129
1719000000.0,-0.153727,0.915105
1726000000.0,-0.110175,0.918327
1733000000.0,-0.06963,0.922814
1740000000.0,-0.024324,0.923242
1747000000.0,0.020339,0.917118
1754000000.0,0.054661,0.91353
1761000000.0,0.102592,0.906415
1768000000.0,0.147806,0.895338
1775000000.0,0.182561,0.88321
1782000000.0,0.229759,0.873091
1789000000.0,0.264363,0.862847
1796000000.0,0.311743,0.840558
1803000000.0,0.3499,0.8217
1810000000.0,0.482527,0.740465
1817000000.0,0.421328,0.781531
1824000000.0,0.45681,0.759951
1831000000.0,0.498974,0.734333
1838000000.0,0.532657,0.700459
1845000000.0,0.579835,0.651797
1852000000.0,0.58391,0.644901
1859000000.0,0.60958,0.609675
1866000000.0,0.631878,0.583671
1873000000.0,0.673332,0.525719
1880000000.0,0.689963,0.501004
1887000000.0,0.716162,0.46091
1894000000.0,0.731054,0.429642
1901000000.0,0.745717,0.386184
1908000000.0,0.760469,0.333159
1915000000.0,0.766743,0.294796
1922000000.0,0.774558,0.258136
1929000000.0,0.783338,0.207941
1936000000.0,0.782499,0.163656
1943000000.0,0.781709,0.124479
1950000000.0,0.774375,0.079412
1957000000.0,0.770103,0.033495
1964000000.0,0.752814,-0.002995
1971000000.0,0.737738,-0.040648
1978000000.0,0.717971,-0.07725
1985000000.0,0.694867,-0.111808
1992000000.0,0.673368,-0.138232
1999000000.0,0.647099,-0.17312
2006000000.0,0.622915,-0.181039
2013000000.0,0.595996,-0.204436
2020000000.0,0.571229,-0.216124
2027000000.0,0.547976,-0.219505
2034000000.0,0.52663,-0.223921
2041000000.0,0.510632,-0.227211
2048000000.0,0.497809,-0.228536
2055000000.0,0.494309,-0.225149
2062000000.0,0.491399,-0.230835
2069000000.0,0.492275,-0.233785
2076000000.0,0.493008,-0.248188
2083000000.0,0.496221,-0.261183
2090000000.0,0.502523,-0.283044
2097000000.0,0.505951,-0.305938
2104000000.0,0.503011,-0.332863
2111000000.0,0.499962,-0.362725
2118000000.0,0.488354,-0.397774
2125000000.0,0.475983,-0.427723
2132000000.0,0.451606,-0.463437
2139000000.0,0.424453,-0.489434
2146000000.0,0.385455,-0.517697
2153000000.0,0.354926,-0.536959
2160000000.0,0.307075,-0.556582
2167000000.0,0.263736,-0.566741
